network,station,latitude,longitude,elevation
CI,LDF,35.13066,-115.18416,1239
CI,LDR,34.99060,-118.34156,1121
CI,LEO,34.63064,-118.30505,1025
CI,LFP,34.30529,-118.48805,368
CI,LGB,33.97530,-118.14918,42
CI,LJR,34.80762,-118.86775,1443
CI,LKH,33.23598,-116.75876,847
CI,LLS,33.68447,-117.94304,8
CI,LMH,33.74418,-117.39135,496
CI,LMR2,34.93439,-117.69629,964
CI,LMS,33.81744,-117.44500,443
CI,LMY,34.73316,-119.10391,1575
CI,LOC,34.69073,-120.44690,95
CI,LPC,34.31478,-117.54642,1351
CI,LRL,35.47954,-117.68212,1340
CI,LRR2,34.52706,-118.02998,906
CI,LTP,33.88110,-118.17568,20
CI,LUC2,34.45638,-116.96423,886
CI,LUG,34.36560,-117.36683,1140
CI,LUS,33.01375,-117.16305,120
CI,LVO,34.55580,-119.88387,275
CI,LVY,34.17408,-119.15636,11
CI,LVY,34.17408,-119.15636,12
CI,LYP,32.70333,-116.75480,886
CI,MAG,35.36165,-118.92282,135
CI,MCT,34.22645,-116.04073,661
CI,MES,34.26311,-119.09588,69
CI,MGE,33.81841,-116.36874,68
CI,MIK,34.13688,-118.12601,275
CI,MIKB,34.13688,-118.12601,231
CI,MIS,33.74030,-118.33517,299
CI,MLAC,37.63019,-118.83605,2162
CI,MLS,34.00460,-117.56162,230
CI,MMC,33.57304,-117.76258,46
CI,MMC,33.57304,-117.76258,55
CI,MNO,33.94738,-117.17278,564
CI,MOP,34.28096,-118.90469,141
CI,MOR,33.50388,-117.13993,331
CI,MPI,34.81258,-119.14530,2673
CI,MPM,36.05799,-117.48901,1839
CI,MPP,34.88848,-119.81362,1739
CI,MRS,35.42522,-116.88957,1000
CI,MSC,34.03852,-116.64795,938
CI,MSJ,33.80801,-116.96789,466
CI,MTA,33.42654,-117.37927,785
CI,MTG,33.19915,-116.64727,1092
CI,MTP,35.48434,-115.55320,1588
CI,MUR,33.59999,-117.19543,562
CI,MWC,34.22362,-118.05832,1725
CI,NBS,34.78035,-116.55798,590
CI,NCH,34.94270,-119.67395,665
CI,NEE2,34.76759,-114.61881,271
CI,NEN,34.77539,-118.50099,859
CI,NJQ,34.53412,-120.17737,219
CI,NOT,34.22869,-118.55829,247
CI,NPN,35.46739,-115.26851,935
CI,NSS2,33.55553,-115.94586,17
CI,NWH,33.73314,-117.75109,95
CI,NWH,33.73314,-117.75109,96
CI,OAT,34.34361,-118.61442,1089
CI,OCP,32.74755,-116.01931,155
CI,OGC,33.78816,-117.84400,64
CI,OLI,33.94539,-117.92372,162
CI,OLP,32.60771,-116.93019,159
CI,OSI,34.61450,-118.72350,718
CI,PALA,33.38905,-117.03182,552
CI,PASC,34.17141,-118.18523,341
CI,PDE,34.44199,-118.58215,328
CI,PDM,34.30336,-114.14152,144
CI,PDR,33.96273,-118.43702,45
CI,PDU,34.12070,-117.63808,445
CI,PDW,33.92397,-117.61713,166
CI,PDW,33.92397,-117.61713,168
CI,PER,33.86164,-117.20529,468
CI,PGA,33.49140,-117.06350,351
CI,PHL,35.40773,-120.54556,355
CI,PLM,33.35361,-116.86265,1691
CI,PLS,33.79530,-117.60906,1199
CI,PMD,33.64785,-116.37769,296
CI,POB2,33.68708,-116.92382,999
CI,POR,36.10368,-119.00343,198
CI,PSD,33.82393,-116.55026,144
CI,PSR,34.09181,-117.80709,305
CI,PTD,34.00443,-118.80686,7
CI,PUT,34.69115,-117.96919,747
CI,QAD,34.42367,-119.60926,68
CI,QLC,35.04084,-119.97425,556
CI,QUG,34.39558,-118.49837,515
CI,RAG,34.68289,-116.15139,722
CI,RCR,33.36237,-116.30960,193
CI,RCT,36.30523,-119.24384,107
CI,RCU,34.08309,-117.52442,329
CI,RCU,34.08309,-117.52442,331
CI,RFR,35.11358,-120.09721,386
CI,RHC2,34.00095,-118.01333,362
CI,RHR,33.29021,-117.17648,173
CI,RIN,34.28196,-118.47925,304
CI,RINB,34.28196,-118.47925,304
CI,RIO,34.10473,-117.97956,118
CI,RKMO,33.67421,-117.60947,408
CI,RMM,34.64384,-116.62438,1777
CI,RPV,33.74346,-118.40412,107
CI,RRX,34.87533,-116.99684,676
CI,RSB,33.97310,-117.32720,297
CI,RSI,34.85191,-120.20868,181
CI,RSS,33.97327,-117.32674,298
CI,RUN,32.97222,-114.97809,116
CI,RUS,34.05075,-118.08078,70
CI,RVR,33.99351,-117.37545,266
CI,RXH,33.18313,-115.62257,-59
CI,SAL,33.28010,-115.98585,14
CI,SAN,33.70432,-117.88578,11
CI,SBB2,34.68844,-117.82424,825
CI,SBC,34.44076,-119.71492,94
CI,SBI,33.48046,-119.02986,41
CI,SBPX,34.23240,-117.23484,1860
CI,SCI2,32.97990,-118.54697,199
CI,SCZ2,33.99543,-119.63510,440
CI,SDD,33.55259,-117.66171,120
CI,SDG,32.78400,-117.13805,101
CI,SDR,32.73561,-116.94241,113
CI,SES,34.43692,-119.13750,480
CI,SGL,32.64933,-115.72638,75
CI,SHO,35.89953,-116.27530,451
CI,SHO,35.89960,-116.27515,451
CI,SHU,34.64279,-118.16454,774
CI,SIL,34.34802,-116.82746,1698
CI,SIL,34.34803,-116.82747,1698
CI,SLA,35.89095,-117.28332,1174
CI,SLB,33.48519,-115.86643,0
CI,SLH,33.19269,-116.25399,208
CI,SLM,34.45227,-118.42267,523
CI,SLR,33.83359,-116.79737,1567
CI,SLV,33.23854,-115.30436,254
CI,SMF2,34.02201,-118.44627,52
CI,SMI,34.03818,-120.35132,165
CI,SMM,35.31420,-119.99581,599
CI,SMR,35.37699,-120.61247,341
CI,SMT,34.33364,-119.01381,683
CI,SMV,34.27091,-118.74407,276
CI,SMW,35.01108,-120.40997,169
CI,SNCC,33.24787,-119.52437,275
CI,SNO,34.03515,-116.80778,2339
CI,SNR,32.86189,-115.43596,-63
CI,SOC,33.38761,-117.58013,52
CI,SPF,34.05933,-118.64614,470
CI,SPG2,36.20057,-118.76624,627
CI,SQC,34.86647,-120.29439,130
CI,SRA,34.60601,-115.94987,338
CI,SRI,33.97875,-120.07886,392
CI,SRN,33.82854,-117.78938,208
CI,SRT,35.69235,-117.75051,667
CI,SSS,34.03103,-117.45498,336
CI,SSS,34.03103,-117.45498,337
CI,STC,34.30302,-119.18676,180
CI,STG,33.66400,-117.76856,49
CI,STS,33.79033,-118.19878,4
CI,SVD,34.10647,-117.09822,605
CI,SWP,32.79184,-116.09718,265
CI,SWP,32.79184,-116.09718,379
CI,SWS,32.94508,-115.79988,140
CI,SYN,34.60723,-120.06960,201
CI,SYP,34.52775,-119.97834,1278
CI,SYP,34.52781,-119.97832,1278
CI,TA2,34.38203,-117.67822,2249
CI,TEH,35.29130,-118.42079,846
CI,TEJ,35.23107,-118.68878,650
CI,TER2,35.33233,-119.36238,80
CI,TFT,35.14592,-119.41946,233
CI,THC,34.90853,-118.66443,1688
CI,THM,33.65066,-116.07734,60
CI,TIN,37.05422,-118.23009,1197
CI,TJR,35.02722,-118.74373,398
CI,TOR,33.57526,-116.22584,4
CI,TOW2,35.80856,-117.76488,685
CI,TPO,34.87883,-118.22864,769
CI,TUQ,35.43584,-115.92389,1350
CI,USB,34.41300,-119.84270,14
CI,USC,34.01919,-118.28631,58
CI,VCP,33.23934,-117.02125,426
CI,VCS,34.48372,-118.11781,992
CI,VDJ,34.18986,-114.57145,284
CI,VES,35.84089,-119.08469,154
CI,VLO,32.97178,-116.41061,519
CI,VLY,33.73615,-117.15806,445
CI,VOG,36.32098,-119.38226,90
CI,VTV,34.56065,-117.32960,843
CI,WAS2,35.73770,-118.55743,1828
CI,WBM,35.60839,-117.89049,892
CI,WBP,35.87841,-118.07414,2494
CI,WBS,35.53664,-118.14035,1927
CI,WCS2,36.02521,-117.76526,1143
CI,WES,32.75904,-115.73161,-8
CI,WGR,34.51085,-119.27407,554
CI,WHF,35.69513,-118.35183,859
CI,WLH2,36.15207,-118.31319,2672
CI,WLS2,34.57899,-117.71939,889
CI,WLT,34.00948,-117.95077,107
CI,WMD,33.03826,-115.58191,-45
CI,WMF,36.11758,-117.85486,1537
CI,WNM,35.84220,-117.90616,974
CI,WNS,34.11500,-118.38000,306
